,file_name,file_path,file_shape
0,763186195.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/10706/763186195.dcm,"(2776, 2082)"
1,937109986.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/10706/937109986.dcm,"(2776, 2082)"
2,34700621.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/10706/34700621.dcm,"(2776, 2082)"
3,1167990339.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/10706/1167990339.dcm,"(2776, 2082)"
4,1291014447.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/21867/1291014447.dcm,"(5355, 4915)"
5,831671840.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/21867/831671840.dcm,"(5355, 4915)"
6,1481837831.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/21867/1481837831.dcm,"(5355, 4915)"
7,851000290.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/21867/851000290.dcm,"(5355, 4915)"
8,1724313070.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/34867/1724313070.dcm,"(3328, 2560)"
9,1816992952.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/34867/1816992952.dcm,"(3328, 2560)"
10,1416551830.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/34867/1416551830.dcm,"(3328, 2560)"
11,1432659037.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/34867/1432659037.dcm,"(3328, 2560)"
12,2034334966.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/34867/2034334966.dcm,"(3328, 2560)"
13,769612472.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/49211/769612472.dcm,"(2294, 1914)"
14,2050639124.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/49211/2050639124.dcm,"(2294, 1914)"
15,1791711622.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/49211/1791711622.dcm,"(2294, 1914)"
16,957550911.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/49211/957550911.dcm,"(2294, 1914)"
17,743669243.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/49211/743669243.dcm,"(2294, 1914)"
18,695493398.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/49211/695493398.dcm,"(2294, 1914)"
19,629307470.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/49211/629307470.dcm,"(2294, 1914)"
20,171194015.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/49211/171194015.dcm,"(2294, 1914)"
21,1305154817.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/5550/1305154817.dcm,"(5355, 4915)"
22,194918742.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/5550/194918742.dcm,"(5355, 4915)"
23,2073161193.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/5550/2073161193.dcm,"(5355, 4915)"
24,166627648.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/5550/166627648.dcm,"(5355, 4915)"
25,1007453454.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/47903/1007453454.dcm,"(4096, 3328)"
26,837252814.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/47903/837252814.dcm,"(4096, 3328)"
27,304866081.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/47903/304866081.dcm,"(4096, 3328)"
28,92631687.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/47903/92631687.dcm,"(4096, 3328)"
29,550628390.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/11840/550628390.dcm,"(4096, 3328)"
30,1232905516.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/11840/1232905516.dcm,"(4096, 3328)"
31,271416894.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/11840/271416894.dcm,"(4096, 3328)"
32,47515441.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/11840/47515441.dcm,"(4096, 3328)"
33,1548313911.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/11840/1548313911.dcm,"(4096, 3328)"
34,841776897.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/11840/841776897.dcm,"(4096, 3328)"
35,757337371.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/11840/757337371.dcm,"(4096, 3328)"
36,1187394365.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/11840/1187394365.dcm,"(4096, 3328)"
37,622931895.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/46113/622931895.dcm,"(2294, 1914)"
38,602720917.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/46113/602720917.dcm,"(2294, 1914)"
39,245702546.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/46113/245702546.dcm,"(2294, 1914)"
40,1889105740.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/46113/1889105740.dcm,"(2294, 1914)"
41,325821085.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/46113/325821085.dcm,"(2294, 1914)"
42,1811726976.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/46113/1811726976.dcm,"(2294, 1914)"
43,1587565948.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/43851/1587565948.dcm,"(4096, 3328)"
44,779425999.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/43851/779425999.dcm,"(4096, 3328)"
45,318681045.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/43851/318681045.dcm,"(4096, 3328)"
46,2065422512.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/43851/2065422512.dcm,"(4096, 3328)"
47,1421316488.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/63745/1421316488.dcm,"(4096, 3328)"
48,2041390037.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/63745/2041390037.dcm,"(4096, 3328)"
49,1661749135.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/63745/1661749135.dcm,"(4096, 3328)"
50,2074379756.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/63745/2074379756.dcm,"(4096, 3328)"
51,285549196.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/63745/285549196.dcm,"(4096, 3328)"
52,257050431.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/58906/257050431.dcm,"(4096, 3328)"
53,259132134.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/58906/259132134.dcm,"(4096, 3328)"
54,1420504844.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/58906/1420504844.dcm,"(4096, 3328)"
55,1851980995.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/58906/1851980995.dcm,"(4096, 3328)"
56,178922776.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/17064/178922776.dcm,"(4096, 3328)"
57,391411113.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/17064/391411113.dcm,"(4096, 3328)"
58,1232323036.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/17064/1232323036.dcm,"(4096, 3328)"
59,84759171.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/17064/84759171.dcm,"(4096, 3328)"
60,216425125.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/26810/216425125.dcm,"(5928, 4728)"
61,352289466.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/26810/352289466.dcm,"(5928, 4728)"
62,1662691198.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/26810/1662691198.dcm,"(5928, 4728)"
63,451319954.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/26810/451319954.dcm,"(5928, 4728)"
64,1157968085.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/29010/1157968085.dcm,"(2776, 2082)"
65,979994772.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/29010/979994772.dcm,"(2776, 2082)"
66,1387281467.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/29010/1387281467.dcm,"(2776, 2082)"
67,1669002949.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/29010/1669002949.dcm,"(2776, 2082)"
68,1641825899.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/27507/1641825899.dcm,"(4096, 3328)"
69,1603478848.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/27507/1603478848.dcm,"(4096, 3328)"
70,518465176.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/27507/518465176.dcm,"(4096, 3328)"
71,620245866.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/27507/620245866.dcm,"(4096, 3328)"
72,375445182.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/19334/375445182.dcm,"(4740, 3540)"
73,949176137.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/19334/949176137.dcm,"(4740, 3540)"
74,2122421722.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/19334/2122421722.dcm,"(4740, 3540)"
75,102489772.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/19334/102489772.dcm,"(4740, 3540)"
76,805354093.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/19334/805354093.dcm,"(4740, 3540)"
77,1338858456.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/10512/1338858456.dcm,"(5355, 4915)"
78,474818568.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/10512/474818568.dcm,"(5355, 4915)"
79,457122509.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/10512/457122509.dcm,"(5355, 4915)"
80,742723588.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/10512/742723588.dcm,"(5355, 4915)"
81,1887797144.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/10514/1887797144.dcm,"(4096, 3328)"
